"aid","author_last_name","author_fore_name"
266,"Jolly","R D"
267,"Thompson","K G"
268,"Winchester","B G"
269,"Di Ferrante","N"
270,"Leachman","R D"
271,"Angelini","P"
272,"Donnelly","P V"
273,"Francis","G"
274,"Almazan","A"
275,"Segni","G"
276,"Franzblau","C"
277,"Jordan","R E"
278,"Ng","W G"
279,"Donnell","G N"
280,"Koch","R"
281,"Bergren","W R"
282,"Kulik","A M"
283,"Kondrat'eva","L N"
284,"Natsiuk","M V"
285,"Chekman","I S"
286,"Barkov","N K"
287,"Ostrovskaia","R U"
288,"Frantsuzova","S B"
289,"Sandhu","S S"
290,"Nelson","P"
291,"Warren","W J"
292,"Lachmajer","J"
293,"Kersten","E"
294,"Sturges","S"
295,"Brown","M"
296,"Kemble","J V"
297,"Richardson","P D"
298,"Withrington","P G"
299,"Robert","M"
300,"Finch","L"
301,"Hicks","P E"
302,"Renaud","L P"
303,"Kelly","J S"
304,"Grundy","H C"
305,"Grundy","H F"
306,"Heazell","M A"
307,"Osborn","D"
308,"Jenkinson","D H"
309,"Donaldson","I"
310,"Dolphin","A"
311,"Jenner","P"
312,"Mardsen","C K"
313,"Pycock","C"
314,"Crow","T J"
315,"Deakin","J F"
316,"Longden","A"
317,"Marriott","A S"
318,"Skingle","M"
319,"Tyers","M B"
320,"Zelikovski","A"
321,"Abu-Dalu","J"
322,"Urca","I"
323,"Keighley","M R"
324,"Asquith","P"
325,"Edwards","J A"
326,"Alexander-Williams","J"
327,"Lorkin","P A"
328,"Stephens","A D"
329,"Beard","M E"
330,"Wrigley","P F"
331,"Adams","L"
332,"Classen","M"
333,"Safrany","L"
334,"Lloyd","G"
335,"Deakin","H G"
336,NA,NA
337,"Sonnhof","U"
338,"Grafe","P"
339,"Krumnikl","J"
340,"Linder","M"
341,"Schindler","L"
342,"Baker","R R"
343,"Dowdall","M J"
344,"Whittaker","V P"
345,"Spatz","M"
346,"Renkawek","K"
347,"Murray","M R"
348,"Klatzo","I"
349,"Burdon","R H"
350,"Sodipo","J O"
351,"Lee","D C"
352,"Morris","L E"
353,"Fook","T J"
354,"Ranadive","N S"
355,"Basu","P K"
356,"Jansen","A H"
357,"Russell","B J"
358,"Chernick","V"
359,"Griffin","G J"
360,"Hora","T S"
361,"Baker","R"
362,"McCalla","D R"
363,"Olive","P"
364,"Tu","Y"
365,"Fan","M L"
366,"Day","D F"
367,"Yaphe","W"
368,"Rosenberg","S L"
369,"Kelley","W D"
370,"Laishley","E J"
371,"Jurtshuk","P"
372,"McEntire","J E"
373,"Jordan","M J"
374,"Lechevalier","M P"
375,"Sloane","N H"
376,"Esterbauer","H"
377,"Sanders","E B"
378,"Schubert","J"
379,"Binnion","P F"
380,"Das Gupta","R"
381,"Reinis","Z"
382,"Lojda","Z"
383,"Heyrovský","A"
384,"Horáková","D"
385,"Reisenauer","R"
386,"Theodor","J L"
387,"Senelar","R"
388,"Autrup","H"
389,"Thurlow","B J"
390,"Warwick","G P"
391,"Donaldson","W E"
392,"Dumarey","C"
393,"Sket","D"
394,"Joseph","D"
395,"Boquet","P"
396,"Dupont","J"
397,"Dupont","J C"
398,"Milon","H"
399,"Froment","A"
400,"Fitch","W"
401,"MacKenzie","E T"
402,"Harper","A M"
403,"Bucens","D"
404,"Pain","M C"
405,"Vatner","S F"
406,"McRitchie","R J"
407,"Neely","J R"
408,"Whitmer","J T"
409,"Rovetto","M J"
410,"Lamberton","W F"
411,"Urthaler","F"
412,"Walker","A A"
413,"Hefner","L L"
414,"James","T N"
415,"Barlow","D"
416,"Naghizadeh","F"
417,"King","J"
418,"Matusik","E"
